id,trait,trait_label
"c8b38fb0-027a-11ed-8000-010000000000","dark-blue","Dark Blue"
"c8b4a120-027a-11ed-8000-010000000000","tongue","Tongue"
"c8b76040-027a-11ed-8000-010000000000","laser","Laser"
"c8b8e6e0-027a-11ed-8000-010000000000","naked","Naked"
"c8bc4240-027a-11ed-8000-010000000000","mohawk","Mohawk"
"c8c08800-027a-11ed-8000-010000000000","purple","Purple"
"c8c17260-027a-11ed-8000-010000000000","boring","Boring"
"c8c1e790-027a-11ed-8000-010000000000","bald","Bald"
"c8c3e360-027a-11ed-8000-010000000000","axe","Axe"
"c8cb0f50-027a-11ed-8000-010000000000","suit","Suit"
"c8cbf9b0-027a-11ed-8000-010000000000","stars","Stars"
"c8d39ad0-027a-11ed-8000-010000000000","mobile-phone","Mobile Phone"
"c8d6f630-027a-11ed-8000-010000000000","og-sunglasses","Og Sunglasses"
"c8de2220-027a-11ed-8000-010000000000","cowboy","Cowboy"
"c8efae50-027a-11ed-8000-010000000000","dotted-tanktop","Dotted Tanktop"
"c8ffdaf0-027a-11ed-8000-010000000000","straw-hat","Straw Hat"
"c954d8c0-027a-11ed-8000-010000000000","3d","3d"
"c96aaab0-027a-11ed-8000-010000000000","cyborg","Cyborg"
"c988ba00-027a-11ed-8000-010000000000","red","Red"
"d875d520-027a-11ed-8000-010000000000","yamabushi","Yamabushi"
"d8764a50-027a-11ed-8000-010000000000","sad","Sad"
"d876bf80-027a-11ed-8000-010000000000","aqua","Aqua"
"d87734b0-027a-11ed-8000-010000000000","pointy","Pointy"
"d877a9e0-027a-11ed-8000-010000000000","minamoto","Minamoto"
"d8781f10-027a-11ed-8000-010000000000","none","None"
"d8789440-027a-11ed-8000-010000000000","excited","Excited"
"d8790970-027a-11ed-8000-010000000000","gen-1","Gen 1"
"d8797ea0-027a-11ed-8000-010000000000","splatter","Splatter"
"d879f3d0-027a-11ed-8000-010000000000","ninja-suit","Ninja Suit"
"d87b7a70-027a-11ed-8000-010000000000","dead","Dead"
"d87c64d0-027a-11ed-8000-010000000000","takeda","Takeda"
"d87cda00-027a-11ed-8000-010000000000","squiggles","Squiggles"
"d87dc460-027a-11ed-8000-010000000000","salmon","Salmon"
"d87eaec0-027a-11ed-8000-010000000000","ashigaru","Ashigaru"
"d87f4b00-027a-11ed-8000-010000000000","warped","Warped"
"d87fc030-027a-11ed-8000-010000000000","shinobi","Shinobi"
"d8803560-027a-11ed-8000-010000000000","midnight","Midnight"
"d880aa90-027a-11ed-8000-010000000000","3d-glasses","3d Glasses"
"d8811fc0-027a-11ed-8000-010000000000","ouchi","Ouchi"
"d8820a20-027a-11ed-8000-010000000000","samurai","Samurai"
"d8827f50-027a-11ed-8000-010000000000","lollipop","Lollipop"
"d882f480-027a-11ed-8000-010000000000","headband","Headband"
"d88369b0-027a-11ed-8000-010000000000","masa-tee","Masa Tee"
"d8851760-027a-11ed-8000-010000000000","bikini","Bikini"
"d88601c0-027a-11ed-8000-010000000000","basic","Basic"
"d8884bb0-027a-11ed-8000-010000000000","swirly","Swirly"
"d888e7f0-027a-11ed-8000-010000000000","peachy","Peachy"
"d8895d20-027a-11ed-8000-010000000000","wokou","Wokou"
"d88abcb0-027a-11ed-8000-010000000000","taira","Taira"
"d88c9170-027a-11ed-8000-010000000000","420","420"
"d88d06a0-027a-11ed-8000-010000000000","string-vest","String Vest"
"d88e1810-027a-11ed-8000-010000000000","snake","Snake"
"d8914c60-027a-11ed-8000-010000000000","derp","Derp"
"d8925dd0-027a-11ed-8000-010000000000","scar","Scar"
"d892d300-027a-11ed-8000-010000000000","silouhette","Silouhette"
"d89718c0-027a-11ed-8000-010000000000","gang-shirt","Gang Shirt"
"d8978df0-027a-11ed-8000-010000000000","blobs","Blobs"
"d8980320-027a-11ed-8000-010000000000","sohei","Sohei"
"d89bd3b0-027a-11ed-8000-010000000000","ninja-hood","Ninja Hood"
"d8a3c2f0-027a-11ed-8000-010000000000","claw","Claw"
"d8a6a920-027a-11ed-8000-010000000000","farmers-hat","Farmers Hat"
"d8aa0480-027a-11ed-8000-010000000000","undead","Undead"
"d8ab6410-027a-11ed-8000-010000000000","pokey-tongue","Pokey Tongue"
"d8ad38d0-027a-11ed-8000-010000000000","tribal","Tribal"
"d8b13070-027a-11ed-8000-010000000000","white","White"
"d8b50100-027a-11ed-8000-010000000000","not-amused","Not Amused"
"d8b9bbf0-027a-11ed-8000-010000000000","zombie","Zombie"
"d8bc7b10-027a-11ed-8000-010000000000","mustard","Mustard"
"d8c24770-027a-11ed-8000-010000000000","stripey-tee","Stripey Tee"
"d8c2bca0-027a-11ed-8000-010000000000","wide","Wide"
"d8cbbd50-027a-11ed-8000-010000000000","panda-hat","Panda Hat"
"d8ce7c70-027a-11ed-8000-010000000000","iota","Iota"
"d8d09f50-027a-11ed-8000-010000000000","onihorn","Onihorn"
"d8dc8630-027a-11ed-8000-010000000000","eyes","Eyes"
"d8eb2c30-027a-11ed-8000-010000000000","imagawa","Imagawa"
"d8f8e7d0-027a-11ed-8000-010000000000","cat-scratch","Cat Scratch"
"d9034810-027a-11ed-8000-010000000000","blobbles","Blobbles"
"d9237a40-027a-11ed-8000-010000000000","ragband","Ragband"
"d930c0b0-027a-11ed-8000-010000000000","star-glasses","Star Glasses"
"d93617e0-027a-11ed-8000-010000000000","hoodie","Hoodie"
"d94b74a0-027a-11ed-8000-010000000000","samurai-armour","Samurai Armour"
"d971c150-027a-11ed-8000-010000000000","rainbow-puke","Rainbow Puke"
"d976f170-027a-11ed-8000-010000000000","golden-claw","Golden Claw"
"d9cf98c0-027a-11ed-8000-010000000000","gold-chain","Gold Chain"
"da5f55a0-027a-11ed-8000-010000000000","samurai-helmet","Samurai Helmet"
"0e363560-027b-11ed-8000-010000000000","football-portugal-ronaldo","Football Portugal Ronaldo"
"0e36f8b0-027b-11ed-8000-010000000000","huckleberry-finn","Huckleberry Finn"
"0e3794f0-027b-11ed-8000-010000000000","iota-snapback-banana","Iota Snapback / Banana"
"0e383130-027b-11ed-8000-010000000000","iota-winter-head-purple-goggle","Iota Winter Head Purple / Goggle"
"0e38cd70-027b-11ed-8000-010000000000","the-moron-face-blue-3d-glases","The Moron Face Blue / 3d Glases"
"0e3990c0-027b-11ed-8000-010000000000","mexican-iota-chain","Mexican Iota Chain"
"0e3a5410-027b-11ed-8000-010000000000","goku-normal","Goku Normal"
"0e3af050-027b-11ed-8000-010000000000","iota-winter-head-pink","Iota Winter Head Pink"
"0e3bb3a0-027b-11ed-8000-010000000000","ghoustbusters-spengler","Ghoustbusters Spengler"
"0e3c4fe0-027b-11ed-8000-010000000000","iota-cap-flat","Iota Cap Flat"
"0e3cec20-027b-11ed-8000-010000000000","green-flame","Green Flame"
"0e3daf70-027b-11ed-8000-010000000000","astronaut-mars","Astronaut Mars"
"0e3e4bb0-027b-11ed-8000-010000000000","iota-hypster-banker","Iota Hypster Banker"
"0e3ee7f0-027b-11ed-8000-010000000000","joker-phoenix","Joker Phoenix"
"0e3f8430-027b-11ed-8000-010000000000","ghoustbusters-stantz","Ghoustbusters Stantz"
"0e404780-027b-11ed-8000-010000000000","indian-peace-pipe","Indian Peace Pipe"
"0e40e3c0-027b-11ed-8000-010000000000","pirate-captain","Pirate Captain"
"0e41a710-027b-11ed-8000-010000000000","football-argentina-messi","Football Argentina Messi"
"0e424350-027b-11ed-8000-010000000000","viking-beard","Viking Beard"
"0e4306a0-027b-11ed-8000-010000000000","iota-baseballcap","Iota Baseballcap"
"0e43a2e0-027b-11ed-8000-010000000000","kids-cap","Kids Cap"
"0e446630-027b-11ed-8000-010000000000","laser-eyes-green-naked","Laser Eyes Green Naked"
"0e452980-027b-11ed-8000-010000000000","stone-age-man","Stone Age Man"
"0e45c5c0-027b-11ed-8000-010000000000","king","King"
"0e468910-027b-11ed-8000-010000000000","slash","Slash"
"0e474c60-027b-11ed-8000-010000000000","orc-iota-axe","Orc Iota Axe"
"0e48abf0-027b-11ed-8000-010000000000","bavarian-green-banana","Bavarian Green / Banana"
"0e494830-027b-11ed-8000-010000000000","cyber-armor","Cyber Armor"
"0e49e470-027b-11ed-8000-010000000000","spock","Spock"
"0e4a80b0-027b-11ed-8000-010000000000","bavarian-red","Bavarian Red"
"0e4b1cf0-027b-11ed-8000-010000000000","friday-13th","Friday 13th"
"0e4be040-027b-11ed-8000-010000000000","300-spartan","300 Spartan"
"0e4c7c80-027b-11ed-8000-010000000000","astronaut-moon","Astronaut Moon"
"0e4d18c0-027b-11ed-8000-010000000000","football-france-mbappe","Football France Mbappe"
"0e4ddc10-027b-11ed-8000-010000000000","dark-side","Dark Side"
"0e4e9f60-027b-11ed-8000-010000000000","goku-ssj-blue","Goku Ssj Blue"
"0e4f3ba0-027b-11ed-8000-010000000000","banana","Banana"
"0e4fd7e0-027b-11ed-8000-010000000000","gun-dummy-iota-diaper","Gun Dummy  Iota Diaper"
"0e507420-027b-11ed-8000-010000000000","football-brasil-neymar","Football Brasil Neymar"
"0e513770-027b-11ed-8000-010000000000","iota-snapback-cocktail","Iota Snapback / Cocktail"
"0e51d3b0-027b-11ed-8000-010000000000","parry-hotter","Parry Hotter"
"0e529700-027b-11ed-8000-010000000000","football-spanish-ramos","Football Spanish Ramos"
"0e535a50-027b-11ed-8000-010000000000","drink-helmet","Drink Helmet"
"0e5492d0-027b-11ed-8000-010000000000","dustin","Dustin"
"0e552f10-027b-11ed-8000-010000000000","ghoustbusters-zeddmore","Ghoustbusters Zeddmore"
"0e55cb50-027b-11ed-8000-010000000000","iota-headphone","Iota Headphone"
"0e568ea0-027b-11ed-8000-010000000000","the-moron-face-white-shirt","The Moron Face White Shirt"
"0e572ae0-027b-11ed-8000-010000000000","ragnar","Ragnar"
"0e57ee30-027b-11ed-8000-010000000000","iota-captain-funnel-drinking","Iota Captain Funnel Drinking"
"0e588a70-027b-11ed-8000-010000000000","chain-3d-glases","Chain / 3d Glases"
"0e5926b0-027b-11ed-8000-010000000000","goggle-cap-flat-cocktail","Goggle / Cap Flat / Cocktail"
"0e59c2f0-027b-11ed-8000-010000000000","the-moron-face-black-jacket","The Moron Face Black Jacket"
"0e5a5f30-027b-11ed-8000-010000000000","kratos","Kratos"
"0e5b97b0-027b-11ed-8000-010000000000","its-cool-man-alm-oehi","Its Cool Man Alm Oehi"
"0e5c33f0-027b-11ed-8000-010000000000","iota-winter-head-blue","Iota Winter Head Blue"
"0e5cd030-027b-11ed-8000-010000000000","firefighter","Firefighter"
"0e5d6c70-027b-11ed-8000-010000000000","the-moron-face-winter-hat","The Moron Face / Winter Hat"
"0e5e08b0-027b-11ed-8000-010000000000","chinese-farmer","Chinese Farmer"
"0e5ea4f0-027b-11ed-8000-010000000000","pharaoh","Pharaoh"
"0e5f4130-027b-11ed-8000-010000000000","necktie-3d-glasses","Necktie / 3d Glasses"
"0e5fdd70-027b-11ed-8000-010000000000","plague-doctor","Plague Doctor"
"0e6079b0-027b-11ed-8000-010000000000","goku-ssj-perfected-ultra-instinct","Goku Ssj Perfected Ultra Instinct"
"0e6115f0-027b-11ed-8000-010000000000","gardener-3d-glases","Gardener / 3d Glases"
"0e61d940-027b-11ed-8000-010000000000","ghoustbusters-venkman","Ghoustbusters Venkman"
"0e627580-027b-11ed-8000-010000000000","moron-cap-coconut","Moron Cap / Coconut"
"0e6311c0-027b-11ed-8000-010000000000","laser-eyes-red-naked","Laser Eyes Red Naked"
"0e63d510-027b-11ed-8000-010000000000","chuck-norris","Chuck Norris"
"0e647150-027b-11ed-8000-010000000000","iota-cilinder","Iota Cilinder"
"0e650d90-027b-11ed-8000-010000000000","iota-tattoo","Iota Tattoo"
"0e65d0e0-027b-11ed-8000-010000000000","magic-stick-glowing-mask","Magic Stick Glowing Mask"
"0e666d20-027b-11ed-8000-010000000000","goku-ssj-red-god","Goku Ssj Red God"
"0e673070-027b-11ed-8000-010000000000","beer-mass-cap-flat","Beer Mass Cap Flat"
"0e689000-027b-11ed-8000-010000000000","light-side","Light Side"
"0e695350-027b-11ed-8000-010000000000","indian-iota-eyes","Indian Iota Eyes"
"0e6a16a0-027b-11ed-8000-010000000000","headphones-3d-glases","Headphones / 3d Glases"
"0e6ab2e0-027b-11ed-8000-010000000000","goku-ssj","Goku Ssj"
"0e6b4f20-027b-11ed-8000-010000000000","firefighter-gasmask","Firefighter Gasmask"
"0e6beb60-027b-11ed-8000-010000000000","sicilian-gangster","Sicilian Gangster"
"0e6c87a0-027b-11ed-8000-010000000000","iota-sun-had-funnel-drinking","Iota Sun Had Funnel Drinking"
"0e6d23e0-027b-11ed-8000-010000000000","assassine","Assassine"
"0e6de730-027b-11ed-8000-010000000000","pacifier-dummy","Pacifier Dummy"
"0e6e8370-027b-11ed-8000-010000000000","the-moron-face-laser-eyes","The Moron Face / Laser Eyes"
"0e6f46c0-027b-11ed-8000-010000000000","iota-winter-head-green-goggle","Iota Winter Head Green / Goggle"
"0e700a10-027b-11ed-8000-010000000000","captain-iota-hoodie","Captain Iota Hoodie"
"0e70cd60-027b-11ed-8000-010000000000","alien","Alien"
"0e7169a0-027b-11ed-8000-010000000000","mummy-iota-eyes","Mummy Iota Eyes"
"0e722cf0-027b-11ed-8000-010000000000","cilinder-black-white","Cilinder Black / White"
"0e72c930-027b-11ed-8000-010000000000","special-force-police","Special Force Police"
"0e736570-027b-11ed-8000-010000000000","mad-hatter","Mad Hatter"
"0e7401b0-027b-11ed-8000-010000000000","football-german-reus","Football German Reus"
"0e749df0-027b-11ed-8000-010000000000","scout","Scout"
"0e758850-027b-11ed-8000-010000000000","d-1-4","D 1.4"
"0e75fd80-027b-11ed-8000-010000000000","background-3","Background 3"
"0e7672b0-027b-11ed-8000-010000000000","bubblegum","Bubblegum"
"0e76e7e0-027b-11ed-8000-010000000000","sadly","Sadly"
"0e775d10-027b-11ed-8000-010000000000","blue-shirt","Blue Shirt"
"0e77d240-027b-11ed-8000-010000000000","small-down","Small Down"
"0e7958e0-027b-11ed-8000-010000000000","grey-sweatshirt","Grey Sweatshirt"
"0e79ce10-027b-11ed-8000-010000000000","blonde","Blonde"
"0e7a4340-027b-11ed-8000-010000000000","peercing","Peercing"
"0e7ab870-027b-11ed-8000-010000000000","bucket-hat","Bucket Hat"
"0e7b2da0-027b-11ed-8000-010000000000","background-8","Background 8"
"0e7c1800-027b-11ed-8000-010000000000","spiral","Spiral"
"0e7c8d30-027b-11ed-8000-010000000000","e-1-4","E 1.4"
"0e7d9ea0-027b-11ed-8000-010000000000","white-tshirt","White Tshirt"
"0e7e8900-027b-11ed-8000-010000000000","medium","Medium"
"0e7efe30-027b-11ed-8000-010000000000","c-1","C 1"
"0e7fe890-027b-11ed-8000-010000000000","background-9","Background 9"
"0e820b70-027b-11ed-8000-010000000000","gold-tooth","Gold Tooth"
"0e8280a0-027b-11ed-8000-010000000000","a-2-2","A 2.2"
"0e83e030-027b-11ed-8000-010000000000","blue-beanie","Blue Beanie"
"0e84f1a0-027b-11ed-8000-010000000000","background-4","Background 4"
"0e85dc00-027b-11ed-8000-010000000000","light","Light"
"0e87b0c0-027b-11ed-8000-010000000000","c-1-4","C 1.4"
"0e8825f0-027b-11ed-8000-010000000000","blue-tank-top","Blue Tank Top"
"0e88e940-027b-11ed-8000-010000000000","d-1-3","D 1.3"
"0e8a48d0-027b-11ed-8000-010000000000","background-2","Background 2"
"0e8ba860-027b-11ed-8000-010000000000","mexican-hat","Mexican Hat"
"0e8c1d90-027b-11ed-8000-010000000000","cross-eyed","Cross Eyed"
"0e8cb9d0-027b-11ed-8000-010000000000","a-2-3","A 2.3"
"0e8d2f00-027b-11ed-8000-010000000000","brain","Brain"
"0e8da430-027b-11ed-8000-010000000000","goat","Goat"
"0e8e8e90-027b-11ed-8000-010000000000","maroon","Maroon"
"0e8f03c0-027b-11ed-8000-010000000000","poncho","Poncho"
"0e908a60-027b-11ed-8000-010000000000","background-7","Background 7"
"0e9174c0-027b-11ed-8000-010000000000","acdc","Acdc"
"0e92d450-027b-11ed-8000-010000000000","brown-sweatshirt","Brown Sweatshirt"
"0e934980-027b-11ed-8000-010000000000","d-2-2","D 2.2"
"0e93beb0-027b-11ed-8000-010000000000","beard","Beard"
"0e954550-027b-11ed-8000-010000000000","c-2","C 2"
"0e95ba80-027b-11ed-8000-010000000000","green-hat","Green Hat"
"0e96a4e0-027b-11ed-8000-010000000000","m-moustache","M.moustache"
"0e993cf0-027b-11ed-8000-010000000000","brown","Brown"
"0e9b11b0-027b-11ed-8000-010000000000","background-10","Background 10"
"0e9b86e0-027b-11ed-8000-010000000000","e-2-2","E 2.2"
"0e9c2320-027b-11ed-8000-010000000000","white-headphones","White Headphones"
"0e9d82b0-027b-11ed-8000-010000000000","b-2","B 2"
"0e9df7e0-027b-11ed-8000-010000000000","grey","Grey"
"0e9f5770-027b-11ed-8000-010000000000","heart","Heart"
"0e9ff3b0-027b-11ed-8000-010000000000","long-tongue","Long Tongue"
"0ea0de10-027b-11ed-8000-010000000000","small-up","Small Up"
"0ea15340-027b-11ed-8000-010000000000","background-6","Background 6"
"0ea23da0-027b-11ed-8000-010000000000","c-2-3","C 2.3"
"0ea68360-027b-11ed-8000-010000000000","santa-claus-hat","Santa Claus Hat"
"0ea794d0-027b-11ed-8000-010000000000","background-5","Background 5"
"0eaa53f0-027b-11ed-8000-010000000000","e-1-3","E 1.3"
"0eae99b0-027b-11ed-8000-010000000000","b-1","B 1"
"0eaf35f0-027b-11ed-8000-010000000000","black-hat","Black Hat"
"0eb02050-027b-11ed-8000-010000000000","mask","Mask"
"0eb5c5a0-027b-11ed-8000-010000000000","birthday-hat-circles","Birthday Hat Circles"
"0eb7c170-027b-11ed-8000-010000000000","birthday-hat-lines","Birthday Hat Lines"
"0ebbb910-027b-11ed-8000-010000000000","a-2","A 2"
"0ebca370-027b-11ed-8000-010000000000","s","S"
"0ec025e0-027b-11ed-8000-010000000000","x","X"
"0ec11040-027b-11ed-8000-010000000000","viking-helmet","Viking Helmet"
"0ec30c10-027b-11ed-8000-010000000000","green-shirt","Green Shirt"
"0ec3f670-027b-11ed-8000-010000000000","dark-circles","Dark Circles"
"0ec46ba0-027b-11ed-8000-010000000000","background-1","Background 1"
"0ec4e0d0-027b-11ed-8000-010000000000","e-2-4","E 2.4"
"0ec92690-027b-11ed-8000-010000000000","hodl-tshirt","Hodl Tshirt"
"0eca3800-027b-11ed-8000-010000000000","e-2-3","E 2.3"
"0ecc81f0-027b-11ed-8000-010000000000","cowboy-hat","Cowboy Hat"
"0ed0c7b0-027b-11ed-8000-010000000000","a-1","A 1"
"0ed3ade0-027b-11ed-8000-010000000000","b-2-4","B 2.4"
"0ed42310-027b-11ed-8000-010000000000","rainbow-tshirt","Rainbow Tshirt"
"0ed69410-027b-11ed-8000-010000000000","a-2-4","A 2.4"
"0ed70940-027b-11ed-8000-010000000000","orange-headphones","Orange Headphones"
"0ed7f3a0-027b-11ed-8000-010000000000","big","Big"
"0ed97a40-027b-11ed-8000-010000000000","stitched","Stitched"
"0edcae90-027b-11ed-8000-010000000000","red-beanie","Red Beanie"
"0ee14270-027b-11ed-8000-010000000000","yellow-tank-top","Yellow Tank Top"
"0ee38c60-027b-11ed-8000-010000000000","headband-iota","Headband Iota"
"0ee7f930-027b-11ed-8000-010000000000","b-2-2","B 2.2"
"0eebc9c0-027b-11ed-8000-010000000000","c-2-2","C 2.2"
"0eef9a50-027b-11ed-8000-010000000000","brakets","Brakets"
"0ef36ae0-027b-11ed-8000-010000000000","a-1-2","A 1.2"
"0ef51890-027b-11ed-8000-010000000000","d-2-3","D 2.3"
"0f0656a0-027b-11ed-8000-010000000000","e-2","E 2"
"0f074100-027b-11ed-8000-010000000000","umbrella","Umbrella"
"0f0a2730-027b-11ed-8000-010000000000","e-1-2","E 1.2"
"0f0fa570-027b-11ed-8000-010000000000","a-1-4","A 1.4"
"0f16aa50-027b-11ed-8000-010000000000","d-2","D 2"
"0f31d370-027b-11ed-8000-010000000000","b-1-3","B 1.3"
"0f335a10-027b-11ed-8000-010000000000","d-1-2","D 1.2"
"0f47f380-027b-11ed-8000-010000000000","d-1","D 1"
"0f52f000-027b-11ed-8000-010000000000","a-1-3","A 1.3"
"0f669f10-027b-11ed-8000-010000000000","d-2-4","D 2.4"
"0f7915a0-027b-11ed-8000-010000000000","b-1-2","B 1.2"
"0f865c10-027b-11ed-8000-010000000000","c-1-2","C 1.2"
"0f86f850-027b-11ed-8000-010000000000","c-2-4","C 2.4"
"0fb49800-027b-11ed-8000-010000000000","iota-patch","Iota Patch"
"0fd69ef0-027b-11ed-8000-010000000000","b-1-4","B 1.4"
"100f8940-027b-11ed-8000-010000000000","c-1-3","C 1.3"
"10794790-027b-11ed-8000-010000000000","b-2-3","B 2.3"
"11dc32f0-027b-11ed-8000-010000000000","e-1","E 1"
"1d85e2e0-027b-11ed-8000-010000000000","scout-unit","Scout Unit"
"2301b1e0-027b-11ed-8000-010000000000","rare","Rare"
"23024e20-027b-11ed-8000-010000000000","regular","Regular"
"2307cc60-027b-11ed-8000-010000000000","ultra-rare","Ultra Rare"
"238d01f0-027b-11ed-8000-010000000000","wise","Wise"
"238d9e30-027b-11ed-8000-010000000000","3d-glass","3d Glass"
"238e3a70-027b-11ed-8000-010000000000","kamikaze","Kamikaze"
"238f72f0-027b-11ed-8000-010000000000","mastermind","Mastermind"
"23903640-027b-11ed-8000-010000000000","moon","Moon"
"2390d280-027b-11ed-8000-010000000000","tactical","Tactical"
"23920b00-027b-11ed-8000-010000000000","zen-legend","Zen Legend"
"239f9f90-027b-11ed-8000-010000000000","third-eye","Third Eye"
"23cd1830-027b-11ed-8000-010000000000","punch","Punch"
"23cd8d60-027b-11ed-8000-010000000000","violet","Violet"
"23ce0290-027b-11ed-8000-010000000000","gummy","Gummy"
"23ce77c0-027b-11ed-8000-010000000000","sea","Sea"
"23cf6220-027b-11ed-8000-010000000000","cappy","Cappy"
"23d04c80-027b-11ed-8000-010000000000","slucky","Slucky"
"23d0c1b0-027b-11ed-8000-010000000000","pitch","Pitch"
"23d15df0-027b-11ed-8000-010000000000","range","Range"
"23d1d320-027b-11ed-8000-010000000000","cast","Cast"
"23d24850-027b-11ed-8000-010000000000","lime","Lime"
"23d2bd80-027b-11ed-8000-010000000000","candy","Candy"
"23d41d10-027b-11ed-8000-010000000000","fruits","Fruits"
"23d49240-027b-11ed-8000-010000000000","raspberry","Raspberry"
"23d5a3b0-027b-11ed-8000-010000000000","glitter","Glitter"
"23d618e0-027b-11ed-8000-010000000000","silver","Silver"
"23d68e10-027b-11ed-8000-010000000000","mount","Mount"
"23d862d0-027b-11ed-8000-010000000000","flummy","Flummy"
"23d8d800-027b-11ed-8000-010000000000","yellow","Yellow"
